mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.48898115158081057,0.048379146138599845,0.0036008358001708984,0.0008003712055546057,balanced,entropy,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 10}",0.6941732156951036,0.6947966071466357,0.6771877163231191,0.6880375015492135,0.6778379472811268,0.6864072782352236,0.007639100379320296,9,0.7578291502905837,0.7567911990337954,0.7624325232483019,0.762197763651278,0.7527782988706737,0.7584057870189265,0.00361114160836136
0.699419355392456,0.03202573588242617,0.004000997543334961,0.0010958445431898463,balanced,entropy,20,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 20}",0.6366592475404312,0.6508080093587616,0.634018312460514,0.6367630655385368,0.6193181674919277,0.6355140830230364,0.010012653765115653,22,0.9302535636208382,0.9265810204995039,0.9323567742461425,0.9298391533405408,0.9288663959376542,0.9295793815289359,0.0018833178440683133
0.7023672580718994,0.026800686800555272,0.004801607131958008,0.0007490558804185966,balanced,entropy,50,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 50}",0.6146712088038283,0.6049422181111382,0.6202915242145864,0.6149682751282446,0.6032007419028356,0.6116152715682476,0.006498921323595246,30,0.9997659176029964,0.9996656189393432,0.9989794409737591,0.9995987427272119,0.999799371363606,0.9995618183213834,0.000299796370786791
0.7509707450866699,0.07358888573778351,0.00440068244934082,0.0004911876027938039,balanced,entropy,100,"{'DT__class_weight': 'balanced', 'DT__criterion': 'entropy', 'DT__max_depth': 100}",0.6146712088038283,0.6049422181111382,0.6228382802368709,0.6149682751282446,0.6032007419028356,0.6121246227727044,0.0072188816612670645,29,0.9997659176029964,0.9996656189393432,0.9995987427272119,0.9995987427272119,0.999799371363606,0.9996856786720739,8.352535428083743e-05
0.07361664772033691,0.010540039012278476,0.004201412200927734,0.001600146324723539,,gini,1,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.645136845858964,0.6488816944920545,0.6414877891739441,0.646746802574264,0.6350419993050964,0.643459446899471,0.0048527894411056335,18,0.6430415411098737,0.6421052111938024,0.6439540621047432,0.6426388273083776,0.645563207277341,0.6434605697988275,0.0012126385886190633
0.0964228630065918,0.00591999387383649,0.0036018848419189452,0.0004910330419459608,,gini,2,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.6410222024781795,0.638508009056476,0.63771073083585,0.6402038311674572,0.6275533797375604,0.6370001918560522,0.004867140635263662,21,0.6389406464866207,0.6360320023854353,0.6397687166432846,0.6356077549384743,0.638768557361717,0.6378235355631064,0.0016759479319572344
0.14623217582702636,0.014988458180739047,0.003801727294921875,0.0007482395619452144,,gini,3,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.6586257541896908,0.6639793478490869,0.6580621075955299,0.6673498320803596,0.6273496489425917,0.6550746413025037,0.0142830469631693,11,0.663404355360905,0.6613725596933968,0.6642983979108167,0.6619758391850543,0.640144872326258,0.6582392048952862,0.009105798356616977
0.196043062210083,0.02071207189105581,0.00580129623413086,0.004119461121209445,,gini,5,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.6561324392102584,0.6557722943173333,0.6540870522016969,0.648362519006206,0.6393532505399623,0.6507422101879526,0.006338685128541532,16,0.6651285998879012,0.6613105570832561,0.6645533605170623,0.649842656665164,0.6546530431258368,0.6590976434558441,0.005940429672153126
0.36228117942810056,0.029694967387969572,0.004200792312622071,0.000980036366437898,,gini,10,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.6431919065542666,0.6541830278737535,0.6535618310042229,0.6524652900581295,0.641394718833853,0.6489594297476668,0.0054998784431134345,17,0.7130313668049822,0.7082340300841545,0.7256511340903327,0.7140592363253065,0.7187767985009652,0.7159505131611482,0.005894614318678262
0.47310643196105956,0.0328157920868318,0.004801750183105469,0.001469516039312242,,gini,20,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 20}",0.6118803480794134,0.6268737927469598,0.6378036836520935,0.6164298259137336,0.6212955916992812,0.6228562561164788,0.008986612453227112,24,0.9072946386603681,0.9022094281727988,0.9117915516810219,0.9003905353484085,0.9142363901555697,0.9071845088036333,0.005326828434534621
0.5985359668731689,0.09213196238806416,0.005200052261352539,0.0014705347918793372,,gini,50,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 50}",0.6151752611174826,0.614320628270352,0.6257644046636619,0.6014961624845457,0.6125805530887656,0.6138675100377962,0.00772215177875421,27,0.999411349187662,0.9990247205941932,0.998789260269258,0.9988226983753237,0.9993780496528796,0.9990852156158633,0.0002654352637842538
0.5883321762084961,0.057533333893043055,0.005001258850097656,0.000632183798836999,,gini,100,"{'DT__class_weight': None, 'DT__criterion': 'gini', 'DT__max_depth': 100}",0.6151752611174826,0.614320628270352,0.6257644046636619,0.6014961624845457,0.6125805530887656,0.6138675100377962,0.00772215177875421,27,0.999411349187662,0.9990247205941932,0.998789260269258,0.9988226983753237,0.9993780496528796,0.9990852156158633,0.0002654352637842538
0.08601975440979004,0.0107546990222738,0.006001663208007812,0.0050598430937408255,,entropy,1,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 1}",0.645136845858964,0.6488816944920545,0.6784429571993845,0.646746802574264,0.6350419993050964,0.6508504805045591,0.014591569461564783,15,0.6430415411098737,0.6421052111938024,0.6902492577362447,0.6426388273083776,0.645563207277341,0.6527196089251278,0.018802346759222616
0.1410308837890625,0.026394782734314625,0.0038011550903320314,0.0007488508488469411,,entropy,2,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 2}",0.6410222024781795,0.638508009056476,0.6414877891739441,0.6402038311674572,0.6275533797375604,0.637755603523671,0.005200494590421946,20,0.6389406464866207,0.6360320023854353,0.6439540621047432,0.6356077549384743,0.638768557361717,0.6386606046553981,0.0029779257972567994
0.2050459861755371,0.02707596170161224,0.004200983047485352,0.00039944664396274063,,entropy,3,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 3}",0.6586257541896908,0.6639793478490869,0.63771073083585,0.6673498320803596,0.6272858569981276,0.6509916102196726,0.015702181150822257,14,0.663404355360905,0.6613725596933968,0.6397687166432846,0.6619758391850543,0.640298689188459,0.6533640320142199,0.010905444644136427
0.2712613582611084,0.01396646479544302,0.0034003257751464844,0.0004900766589971732,,entropy,5,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 5}",0.6561324392102584,0.657655533488708,0.6443126479310064,0.6484267546922279,0.6487454166874684,0.6510548661945389,0.005040889816399587,13,0.6651285998879012,0.6615648268349376,0.6520864976644266,0.6479575804832065,0.6677006424902232,0.6588876294721391,0.007609305627625394
0.43889803886413575,0.01789695141404079,0.003801107406616211,0.0007485194482540516,,entropy,10,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 10}",0.6485520111976928,0.6574197507353097,0.6525295257441516,0.6556861429266686,0.6412238925794083,0.651082569974922,0.005779701689252789,12,0.6958711956433417,0.6996258002726099,0.7191704008247111,0.7018271409430421,0.6950744709443009,0.702313801725601,0.008780913471945002
0.6957562446594239,0.01826491659549879,0.003600597381591797,0.0004897846281002358,,entropy,20,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 20}",0.6310221218902503,0.6231178943995549,0.6345080151021876,0.62776175664197,0.6237856207410052,0.6280393832758747,0.004315799720919976,23,0.8739033662133708,0.8928230675723262,0.9181155502215552,0.8682467209752318,0.8917472093664983,0.8889671828697964,0.017484163273186137
0.739365816116333,0.04631642308831435,0.003200864791870117,0.00040001873464717136,,entropy,50,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 50}",0.6173457207054063,0.6192539289568426,0.6086875364631982,0.6175679311272531,0.6140128461343342,0.6153737315471806,0.0037501152809603323,25,0.999411349187662,0.9990247205941932,0.9973096221075154,0.9979985872380503,0.9993780496528796,0.9986244657560601,0.0008328044067304804
0.6555476188659668,0.057928809339582624,0.0030008792877197266,3.568322550558034e-07,,entropy,100,"{'DT__class_weight': None, 'DT__criterion': 'entropy', 'DT__max_depth': 100}",0.6173457207054063,0.6192539289568426,0.6148722994561883,0.6109765940274415,0.6140128461343342,0.6152924167258164,0.0028407850539140258,26,0.999411349187662,0.9990247205941932,0.998789260269258,0.9988226983753237,0.9993780496528796,0.9990852156158633,0.0002654352637842538
